Country Name,Especies Aves Ameacadas (2017),Especies Peixes Ameacadas (2017),Especies Mamiferos Ameacadas (2017),% Acesso eletricidade (2006),% Acesso eletricidade (2016),Consumo eletricidade kWh per capita (2006),Consumo eletricidade kWh per capita (2014),PIB (US$) (1990),PIB (US$) (2000),PIB (US$) (2005),PIB (US$) (2016),Mortalidade infantil por mil (1990),Mortalidade infantil por mil (2000),Mortalidade infantil por mil (2005),Mortalidade infantil por mil (2016)
Jamaica,10.0,31.0,6.0,89.3138961791992,98.2042694091797,2366.78973393632,1055.5234694123599,4592224067.37194,8985352831.94058,11204416000.0,14056908749.3505,30.2,22.0,19.9,15.3
Japan,49.0,77.0,29.0,100.0,100.0,8542.478139127441,7819.7146359093595,3132817652848.04,4887519660744.86,4755410630912.14,4949273341993.88,6.3,4.5,3.7,2.7
Jordan,14.0,15.0,13.0,99.12063598632808,100.0,1695.0803406405403,1888.11695268617,4160003917.4325795,8460424400.564179,12588665303.244,38654727746.4789,36.5,27.9,24.3,17.6
Kazakhstan,27.0,14.0,16.0,99.766547651744,100.0,4261.21257238986,5600.208464865079,26932729102.7371,18291994909.0044,57123671733.8953,137278320084.17099,52.2,43.0,32.1,11.4
Kenya,43.0,73.0,30.0,22.8631324768066,56.0,138.049041820898,166.738186934062,8572359162.856309,12705357103.0056,18737897744.7948,70875289605.3804,98.1,100.8,81.0,49.2
Kiribati,6.0,14.0,1.0,64.19097900390629,84.9362716674805,,,39809538.6776989,67254174.3970315,112133944.253532,181551516.503122,95.8,70.6,64.6,54.3
"Korea, Dem. People’s Rep.",29.0,18.0,10.0,21.6286315917969,39.244224548339794,785.0431757122299,600.28595700739,,,,,43.4,60.0,33.0,20.0
"Korea, Rep.",33.0,27.0,11.0,100.0,100.0,8039.7962834858,10496.5136719641,279349355713.801,561633125839.994,898137194716.188,1414804158515.26,15.7,7.5,5.5,3.4
Kuwait,11.0,17.0,7.0,100.0,100.0,17738.924424694298,15213.4198733625,18427777777.7778,37711864406.7797,80797945205.4795,110912280701.754,17.6,12.7,11.8,8.4
Kyrgyz Republic,15.0,3.0,5.0,99.4641265869141,99.99610137939449,1377.43369615208,1941.2218318910102,2674000000.0,1369693171.43504,2460248026.17783,6813092065.835071,65.4,49.4,39.4,21.1
Lao PDR,25.0,55.0,45.0,57.041058703766495,87.0957717895508,,,865559856.1639,1731198022.45494,2735558726.25625,15805707154.2329,161.6,116.5,96.2,63.9
Latvia,11.0,6.0,1.0,100.0,100.0,2966.6099730566402,3507.40452065472,,7937758980.3012705,16922504044.803999,27571513793.3984,16.9,14.2,10.5,4.6
Lebanon,11.0,28.0,10.0,99.3838170909681,100.0,2694.61594390427,2892.7704652936304,2838485353.9618697,17260364842.4544,21287562189.0547,49598825982.1559,32.8,20.0,14.2,8.1
Lesotho,8.0,1.0,4.0,9.7,29.7333087921143,,,596415104.549144,887295267.8751551,1682350934.85132,2291319971.844,91.3,110.3,114.7,93.5
Liberia,13.0,64.0,23.0,0.24477654695510898,19.8,,,384400000.0,529064600.0,550000000.0,2101000000.0,257.9,183.9,125.1,67.4
Libya,8.0,32.0,10.0,98.82056427001949,98.5367279052735,3795.84234119734,1857.15658076874,28901836158.1921,38270206950.41,47334148578.4164,32257171354.0794,42.0,28.2,23.1,12.9
Lithuania,10.0,6.0,2.0,100.0,100.0,3353.3043274293,3821.1451704374,,11539211480.3625,26125575942.2814,42773029835.3222,14.9,10.7,9.0,5.3
Luxembourg,3.0,1.0,0.0,100.0,100.0,16456.6041169016,13914.6784488756,13229247947.8513,21263514833.2412,37347394602.6614,58631324559.4484,8.8,4.6,3.5,2.4
"Macedonia, FYR",13.0,13.0,6.0,99.0,100.0,3450.0725833618103,3496.99999277977,4471828621.90813,3772851420.2476296,6258600713.82627,10745787406.4491,37.1,16.0,13.7,12.2
Madagascar,36.0,110.0,121.0,15.449502944946301,22.9,,,3081479800.2876897,3877673539.09084,5039293030.82367,10001193315.1966,159.5,107.6,82.0,46.4
Malawi,19.0,98.0,10.0,3.6532273329547595,11.0,,,1880771556.30474,1743506531.32652,3655909664.1423,5433038646.51677,232.4,174.7,115.4,55.1
Malaysia,55.0,87.0,72.0,98.24166870117192,100.0,3072.41942434326,4596.33193933959,44024178343.0071,93789736842.1053,143534102611.49698,296535930381.12,16.6,10.2,8.1,8.3
Maldives,0.0,24.0,2.0,92.3244400024414,100.0,,,215089005.235602,624337145.284622,1163362437.5,4222767412.6520295,93.9,43.5,22.6,8.5
Mali,15.0,2.0,14.0,16.6,35.0694999694824,,,2681912030.4938397,2954129565.82965,6245031690.06808,14034980333.6615,253.9,219.8,171.8,110.6
